	Citrus Fire	RN17	Hliana	Rocky Hemp	Bialobrzeskie	Colorado Cherry	Stable Fire Cherry 308	CW x Harlequin Tsunami	USO-31 (A)	Cherry Wine (B)	Fibranova	Nebraska Feral x AC/DC	SS Alpha	Cherry Wine (C)	RN-13A (A)	Authentic Hemp	Bama	RN-13A (B)	FL70 S1	Tangerine (A)	Franklin	Kataini	Martha	X-59	Elektra (B)	Cascade OG	Grandi	URCBD 1	URCBD 7	Han-FH-Q	Oregon CBD	Illinois Feral	Sour Space Candy (B)	SC-1 x Logan	Brilliance (herm)	Otto II (B)	Keystone NY Feral	#5	Cherry (A)	Sterling Gold	Wojko	Anka	RN16	Cherry x Wulf	Cherry Wine (D)	Canda	URCBD 5	Ferimon	Rogue	Joey	18AB092701 (WI)	RNF	Sisters F1	Eletta Campana	Lifter (B)	Pewter River	A2R4 x AC/DC	Earlina 8	Yuma	Elektra 1	Cherry Wine x C	Dead Lights	SC-1	Cobbler	CRS-1	R4 x Wife x Hemp	Otto II (A)	Han-Cold	Brilliance	KG9201	Han-FN-H	Pineberry	Carmagnola Selezionata	Special Sauce (B)	Berry Blossom	Oregon Bush	BaOx (C)	Cherry x 5	Si-1	Wild Horse	Tangerine (C)	TJ's CBD S1 (female)	Vermont Sauce	18AB092101 (WI)	Cherry Wine (standard)	Han-NE	AC/DC x Otto II (A)	Bish Feral	Tangerine (B)	Anka x Logan	Cherry (B)	Nebraska Feral	18AB092801 (WI)	Wolf	Berry Blossom (standard)	Carmagnola	Lifter (A)	FL70	TJ's CBD (B)	A2R4	Hawaiian Haze (B)	TJs CBD S1 (male)	Super Cherry F2	Fermion	FL80	RN19	Victoria	18AB092702 (WI)	RNA Auto	Logan 20	Cherry Wine (A)	Fedora 17	18AB101101 (WI)	Cherry 5	Cherry 308	Cherry x BaOx	Cherry Wine (dwarf)	Sour Space Candy (A)	NWG 331	Hass Hemp	Tygra	FL49	XYZ	Puma	Futura 75	CFX-1	Deschutes	Swift	Picolo	Hawaiian Haze (A)	Marten's Kashong	T-2 (B)	Special Sauce (C)	TJ's CBD (A)	Late Sue (B)	Sisters F2	Hlukhivskii-51	Magic Bullet	CBDawg	FL58	Umpqua	AC/DC x Otto II (B)	VT Cherry	Double Cherries (B)	Green Mountain	FL71	18AB100501 (WI)	Box Wine	Cherry x A	Stout	Cherry x 2	BaOx (A)	NWG Elite	Fresh Start	USO-31 (B)	URCBD 4	AC/DC	A2R4 x Nebraska Feral	NY Cherry	Double Cherries (A)	Elektra (A)	Sour Tsunami	FL71 S1	Cherry 307	Berry Blossom (dwarf)	NY Feral 2019	BaOx (B)	Portugal	Georgina	Hlesia	Suver Haze	KG9202	Cascade	T-1 (B)	ABC	T-2 (A)	URCBD 6	Helena	URCBD 3	Han-NW	Cherry (C)	Felina 32	CFX-2	Special Sauce (A)	URCBD 2	Young Slim	T-1 (A)	Late Sue (A)	AC/DC x Otto II (C)	Dell Riley Field
Fedora 17	0.35724422	0.34442925	0.24948752	0.32972658	0.24892163	0.32359904	0.3470446	0.35969394	0.24907254	0.34239653	0.3066414	0.3225554	0.32652152	0.352609	0.36146265	0.3612138	0.3170521	0.35679117	0.34804088	0.36285245	0.34693336	0.25604805	0.28172445	0.2681414	0.36142665	0.3597942	0.24340798	0.3675252	0.29607505	0.31527385	0.34399217	0.23372789	0.35136643	0.30827776	0.33301497	0.35588878	0.29634327	0.27840266	0.36188808	0.31269068	0.24864657	0.2772067	0.33990663	0.33720252	0.36442465	0.25264177	0.28192452	0.22202288	0.34097108	0.25822225	0.28903666	0.35138687	0.3469373	0.31568134	0.35707644	0.331909	0.31114385	0.25524318	0.31749868	0.35593584	0.36157832	0.35706174	0.3386262	0.3397078	0.2523211	0.3583696	0.3611889	0.3173476	0.33816406	0.3375105	0.30276537	0.36032572	0.2986098	0.35845044	0.36216706	0.36545268	0.34114176	0.29504976	0.31974894	0.3344624	0.34752646	0.33593613	0.35840207	0.29654807	0.3503522	0.31824988	0.35088485	0.30249155	0.3473726	0.2726098	0.3142897	0.32316908	0.30091566	0.31381768	0.34947103	0.29910177	0.3586136	0.346247	0.34052646	0.28905448	0.35974264	0.2957557	0.34393552	0.22328703	0.34227952	0.34865564	0.278541	0.28715685	0.35371426	0.2944086	0.36334252	0	0.28954107	0.35255194	0.35082334	0.33765048	0.35051468	0.354857	0.27719113	0.3662272	0.25226262	0.34920925	0.37143397	0.3168238	0.25809416	0.24779294	0.33623913	0.25966436	0.26134327	0.3605098	0.24388678	0.36332327	0.35125047	0.35379297	0.3476069	0.3458175	0.25935882	0.37131104	0.3527766	0.34264958	0.33894518	0.34898347	0.35203615	0.36312371	0.3272452	0.3466882	0.28619742	0.3527122	0.36061817	0.35114256	0.29623455	0.34047186	0.2824346	0.36001417	0.24768439	0.3251701	0.32929942	0.32625467	0.3419173	0.36993247	0.36038995	0.3387996	0.35023007	0.3465555	0.3442402	0.33205628	0.35456234	0.25601226	0.281508	0.24134701	0.35793427	0.34307244	0.34686664	0.36246097	0.3639254	0.34855333	0.31776822	0.2604892	0.34143472	0.30987188	0.3507684	0.25045595	0.24555211	0.3611796	0.3467768	0.3546422	0.35901484	0.36096555	0.34370577	0.2542043
18AB101101 (WI)	0.33921215	0.316403	0.2880766	0.32961047	0.29475558	0.30877706	0.31707433	0.3367047	0.28345492	0.29770878	0.28447607	0.29827693	0.3228776	0.3211486	0.34420106	0.33868572	0.31244522	0.35579136	0.32348302	0.338473	0.33380058	0.29101318	0.24735984	0.3021384	0.33380088	0.34173942	0.27859336	0.33438262	0.30893424	0.3104337	0.3317825	0.27620354	0.33330083	0.28062412	0.32336378	0.34650117	0.25108844	0.30220973	0.33025458	0.28373173	0.2955872	0.29687542	0.32641158	0.32622755	0.3404019	0.28244957	0.28341776	0.28821763	0.31846115	0.29733193	0.24909765	0.337973	0.3297249	0.29431257	0.3386275	0.32252607	0.28009775	0.27974623	0.30540666	0.32883716	0.34230223	0.33135656	0.323536	0.33215663	0.2766374	0.34672546	0.3417334	0.30689284	0.32019877	0.31122026	0.3068588	0.33287326	0.2692028	0.33980477	0.34192538	0.34685403	0.32279366	0.3155731	0.3088741	0.2896771	0.32622412	0.31726247	0.33782536	0.2389374	0.32654712	0.3153222	0.33972287	0.251342	0.32521123	0.2691942	0.2970717	0.27187648	0.24374661	0.27973127	0.32440966	0.2812192	0.33667675	0.32015145	0.31831133	0.28082058	0.34205577	0.30401206	0.330021	0.30141744	0.31534916	0.3280777	0.24942277	0.24801426	0.33481792	0.25270686	0.3346285	0.28954107	0	0.32798886	0.32790142	0.3186662	0.33064395	0.32976758	0.28153303	0.34889615	0.29511157	0.319066	0.33865547	0.31280378	0.2704784	0.27990142	0.3100969	0.29263207	0.29556248	0.3441488	0.28002378	0.33852857	0.3333662	0.33469793	0.33607185	0.3247305	0.28346822	0.35447192	0.34145865	0.3186593	0.31378922	0.32904205	0.3291928	0.34483764	0.33197573	0.3209592	0.24377532	0.33424932	0.33203995	0.33507988	0.3032527	0.3231848	0.29873878	0.33163846	0.28118584	0.31436813	0.30908135	0.29155126	0.32395813	0.34879878	0.3374759	0.3259418	0.3257359	0.3198944	0.3274034	0.3099733	0.3432099	0.29842252	0.24652803	0.279675	0.3391152	0.31864733	0.32609284	0.33755073	0.33525783	0.33029792	0.31768274	0.26780498	0.32897905	0.30419657	0.33747613	0.2928042	0.28052595	0.34752026	0.3337634	0.33513343	0.34223896	0.34916544	0.32692212	0.2990623
Cherry 5	0.2753605	0.22353406	0.3554762	0.31917375	0.36030823	0.22976024	0.21476471	0.25071132	0.35167423	0.2861258	0.33355427	0.31167743	0.3136766	0.24122356	0.25206938	0.27077025	0.2989667	0.31098163	0.19888173	0.2837319	0.29020888	0.3667358	0.32689464	0.36431146	0.23806043	0.27109078	0.35245404	0.20433125	0.35090807	0.29737124	0.2745976	0.34300748	0.26345262	0.32291588	0.22404152	0.27705085	0.32695752	0.35193127	0.23584163	0.3152365	0.36024573	0.35190684	0.26433927	0.25195554	0.21858211	0.34635055	0.32095572	0.3558075	0.2432367	0.35916027	0.32705042	0.26758167	0.2424949	0.3293231	0.25283074	0.3213191	0.32791814	0.36104232	0.2968598	0.25418732	0.23641534	0.23912673	0.3279224	0.270723	0.33656093	0.27603215	0.27038416	0.30251312	0.23535487	0.27485484	0.31711286	0.25634223	0.32819194	0.23046838	0.21980384	0.24615219	0.25544715	0.33744723	0.29479325	0.3296199	0.26824033	0.28703025	0.2709835	0.3378595	0.205838	0.30118355	0.28101835	0.332585	0.26640242	0.34145358	0.32602692	0.34355104	0.34142557	0.33724812	0.21398868	0.33709374	0.2488798	0.2109037	0.27441767	0.30794445	0.24961115	0.31597117	0.24011105	0.3677086	0.22620144	0.22145922	0.32540816	0.32858467	0.2843602	0.34006822	0.21692187	0.35255194	0.32798886	0	0.23411648	0.28359863	0.19500805	0.26642036	0.35233855	0.25712004	0.35452905	0.21574412	0.28525972	0.2998336	0.33484504	0.34905708	0.26102957	0.37748134	0.3661445	0.25913718	0.35248485	0.27582946	0.28114232	0.28912333	0.29702264	0.24246198	0.35450235	0.2899793	0.278792	0.20857249	0.26342133	0.24563633	0.28956234	0.21199009	0.3041504	0.21219385	0.33039346	0.25738725	0.20549518	0.24115497	0.31920096	0.2681879	0.35827148	0.25140512	0.35082084	0.27664015	0.29478896	0.30907577	0.23083459	0.23548484	0.23439951	0.24713048	0.2059611	0.19506203	0.19347654	0.28616467	0.27552345	0.37212238	0.3214833	0.34826183	0.24247432	0.2521485	0.24388467	0.28306222	0.19842564	0.27446356	0.28360927	0.33880636	0.26042345	0.29948977	0.30432752	0.3620244	0.34617403	0.29810184	0.24084608	0.2852434	0.2931225	0.31094223	0.24658626	0.36051455
Cherry 308	0.2671061	0.20587195	0.34759572	0.31834748	0.356331	0.24211621	0.23107977	0.27599293	0.34690857	0.2642698	0.33569005	0.32004467	0.31368423	0.22925436	0.2651126	0.2826925	0.29700464	0.31720757	0.23210317	0.28281012	0.26898766	0.3637398	0.3268199	0.35561326	0.27572393	0.29250985	0.3468248	0.20523943	0.34782827	0.29689613	0.2686155	0.3391331	0.27757686	0.32137197	0.26278678	0.28895083	0.3285491	0.34866968	0.24728878	0.31156325	0.358986	0.35079816	0.2865209	0.26573393	0.21530655	0.34711295	0.3203638	0.35242593	0.24339	0.3599926	0.32361192	0.28907374	0.2563858	0.3262567	0.28227103	0.3180979	0.3336049	0.35631612	0.29658034	0.2634316	0.27690563	0.26169977	0.3227409	0.26947796	0.33846155	0.2957335	0.26800686	0.29679248	0.23585127	0.26276305	0.3139416	0.2708975	0.3330807	0.26121077	0.22894797	0.26291266	0.28154168	0.3329214	0.29170197	0.3294768	0.26933387	0.2571647	0.296074	0.33727506	0.23947845	0.3015881	0.27902675	0.33483204	0.26856685	0.33528647	0.3032186	0.3377157	0.3373641	0.330295	0.24961096	0.3383771	0.2552919	0.23344521	0.25129503	0.30583578	0.26828077	0.2969165	0.274442	0.364846	0.23854381	0.24947761	0.3303219	0.32625693	0.28773698	0.3374539	0.23900276	0.35082334	0.32790142	0.23411648	0	0.29632536	0.22761884	0.27781978	0.34970436	0.24676402	0.35153294	0.23058952	0.29204988	0.2977302	0.3361873	0.34720433	0.26753837	0.37278178	0.36201164	0.28407192	0.34879127	0.2786046	0.29264098	0.26650622	0.26942915	0.2632044	0.34798566	0.28887033	0.28856012	0.24582078	0.26339838	0.23118995	0.29088175	0.2491235	0.30477503	0.2375279	0.3222295	0.2622274	0.25197944	0.23171018	0.3205712	0.27254978	0.3576859	0.24325551	0.3474292	0.28070727	0.306605	0.31574187	0.26815623	0.22056478	0.25645244	0.2832071	0.23511602	0.20846413	0.23819277	0.2838109	0.28843373	0.36360458	0.3207408	0.3463105	0.26408854	0.24972588	0.25098485	0.2831265	0.24327126	0.2660359	0.30088776	0.33983847	0.26415372	0.2990586	0.29738146	0.35783672	0.3376474	0.28781214	0.290493	0.28901803	0.28251657	0.28532237	0.25601032	0.35941046
Cherry x BaOx	0.28364247	0.28632176	0.33340502	0.31617236	0.35018796	0.28171426	0.2936769	0.29495877	0.34033462	0.31965894	0.32281002	0.29026198	0.31876478	0.3107321	0.26338604	0.29691544	0.2979643	0.24279444	0.28464186	0.3177972	0.27950945	0.35346982	0.31341884	0.34854916	0.28612757	0.29174045	0.3439486	0.2887335	0.34130198	0.29708803	0.30645436	0.3366212	0.29236105	0.31426618	0.28529522	0.26224992	0.31290144	0.34225735	0.31591386	0.3152999	0.34822425	0.34243307	0.27534053	0.30892345	0.28692457	0.3336666	0.31499043	0.34344056	0.2865759	0.34291738	0.31395376	0.25775468	0.27606332	0.32102022	0.26924565	0.32684508	0.32594392	0.3462838	0.2970702	0.27753896	0.27961382	0.2854706	0.32636937	0.2858678	0.33223137	0.3102925	0.2696343	0.2953595	0.2897698	0.29247102	0.30514598	0.27657735	0.32486245	0.29633528	0.28736827	0.27577686	0.26866093	0.3301322	0.2947078	0.34165192	0.30196974	0.30713132	0.2699077	0.32801142	0.2769249	0.29700494	0.27206534	0.3255315	0.30154288	0.3266307	0.32963896	0.34343457	0.3294831	0.33046058	0.2958853	0.33538637	0.2975902	0.27157506	0.30385286	0.31720746	0.2873397	0.3261408	0.25005153	0.35244367	0.2662197	0.25162244	0.31577322	0.31876588	0.2822505	0.32541174	0.27622196	0.33765048	0.3186662	0.28359863	0.29632536	0	0.29990616	0.27960682	0.329648	0.27956173	0.3423281	0.27536958	0.32225457	0.2955285	0.32857776	0.33461168	0.2946754	0.36519986	0.35319844	0.27530757	0.3377558	0.3106073	0.2926941	0.31741926	0.28295282	0.24050038	0.33559883	0.30868736	0.28868306	0.26458636	0.28772852	0.2744652	0.29032695	0.29813772	0.2969079	0.271917	0.3175716	0.28545415	0.28871825	0.26672807	0.29779798	0.2516361	0.34655148	0.3057963	0.3399211	0.3072909	0.2903647	0.32698077	0.23711602	0.304398	0.2896284	0.30241936	0.28037497	0.26883808	0.2792876	0.29640818	0.28790942	0.35375705	0.31150976	0.33556557	0.28633553	0.25730675	0.27979726	0.3174399	0.2939187	0.303839	0.31800157	0.32475764	0.29865804	0.3021703	0.26222306	0.34520683	0.3346115	0.26083073	0.29052007	0.2626688	0.31811485	0.29552144	0.26276654	0.35191354
Cherry Wine (dwarf)	0.27504227	0.20492604	0.35001776	0.31590933	0.36202994	0.24642713	0.23134631	0.235349	0.35338834	0.2927882	0.33483744	0.31402925	0.3125704	0.23368384	0.28091955	0.26480207	0.29861966	0.31318623	0.20498449	0.27066502	0.27554506	0.3637535	0.32919526	0.36284497	0.21627022	0.25839505	0.350324	0.23431614	0.3475113	0.29499534	0.30189806	0.344721	0.25817135	0.3189243	0.23953702	0.29632998	0.32884237	0.34826133	0.26253602	0.3138477	0.36063293	0.35305876	0.2507246	0.25391713	0.2401069	0.34730366	0.32396373	0.35552204	0.23758821	0.3614328	0.33388138	0.28540972	0.26479474	0.32935137	0.25989643	0.31885326	0.32489628	0.359489	0.29644248	0.23012432	0.24359071	0.21748583	0.3230721	0.26329106	0.3410161	0.29013756	0.2765062	0.30141783	0.25207138	0.26906496	0.31428644	0.26581264	0.33540082	0.25750968	0.20815225	0.2468412	0.2663748	0.33347365	0.29447323	0.32530805	0.25562677	0.26201433	0.29267493	0.33993387	0.1567454	0.29738685	0.31732073	0.33890578	0.25426042	0.33913502	0.3248681	0.34317288	0.34074444	0.33668107	0.1746788	0.33916357	0.2529558	0.20472208	0.24817994	0.30373564	0.2457257	0.3082158	0.2499879	0.36639857	0.21476214	0.2480656	0.32642746	0.327815	0.28663698	0.3368626	0.22099005	0.35051468	0.33064395	0.19500805	0.22761884	0.29990616	0	0.2468235	0.3547018	0.25843444	0.3516438	0.21662498	0.28495672	0.29985654	0.3387568	0.34894148	0.2583586	0.37333748	0.36295304	0.22723727	0.35321906	0.2616769	0.27089193	0.26492482	0.28118837	0.24846488	0.35600987	0.273535	0.27981174	0.21063633	0.2671248	0.247724	0.29352444	0.18633474	0.3079394	0.2166536	0.3283921	0.28765836	0.21475446	0.2427827	0.32058045	0.28679812	0.35962376	0.22388624	0.3483245	0.27214873	0.2997201	0.30622047	0.2665594	0.2111364	0.22305489	0.26454633	0.21303493	0.21601672	0.16356026	0.27075157	0.3044636	0.36840132	0.3249094	0.34625682	0.22529289	0.2671959	0.24656181	0.26958716	0.1926448	0.26465186	0.29783067	0.34104598	0.27187288	0.2984345	0.32082242	0.35928017	0.34602252	0.29531825	0.23934534	0.3038511	0.28163245	0.29749265	0.28238183	0.36044908
Sour Space Candy (A)	0.27727187	0.26982355	0.3526264	0.31753868	0.35181284	0.27611062	0.2866165	0.2606716	0.35566947	0.28637502	0.32338327	0.3300459	0.31711385	0.2746887	0.29235035	0.24973826	0.3120368	0.30909997	0.23409113	0.27019593	0.3265007	0.35855907	0.33019495	0.3517669	0.2138787	0.25524467	0.3601477	0.26746583	0.35063305	0.31286725	0.293576	0.3490405	0.1956785	0.3258415	0.29765192	0.30018	0.32580075	0.3436736	0.29451463	0.32545543	0.3510099	0.3414616	0.27229416	0.27084544	0.27647465	0.3483581	0.3313031	0.3575297	0.26980227	0.35008004	0.32885423	0.28427744	0.30211028	0.32289532	0.22439966	0.32333872	0.33850604	0.3648212	0.3104031	0.21003759	0.26563272	0.23274827	0.32224575	0.2646055	0.34732476	0.30029255	0.28867343	0.31140587	0.2978487	0.26084676	0.32883817	0.22114821	0.32206786	0.23463261	0.26956207	0.2807483	0.29625592	0.33137205	0.30568704	0.32002625	0.2720081	0.264367	0.2719747	0.33786598	0.26076442	0.31588858	0.31066987	0.33912897	0.27010998	0.34176058	0.3143221	0.33518136	0.33997828	0.32450676	0.25714055	0.33466136	0.22057931	0.23224595	0.25206858	0.31150153	0.2179388	0.30024973	0.27407476	0.35356718	0.22568108	0.27784848	0.33256823	0.32709742	0.20040941	0.34036094	0.26816678	0.354857	0.32976758	0.26642036	0.27781978	0.27960682	0.2468235	0	0.33810362	0.28155375	0.34409305	0.22391309	0.2889347	0.31320477	0.3455163	0.35130218	0.2610134	0.36665592	0.3546482	0.213536	0.35391942	0.2669295	0.27093494	0.25014034	0.3256202	0.2889928	0.3583301	0.3111263	0.25503314	0.22077146	0.25958094	0.2754134	0.26327136	0.26475114	0.31992832	0.22451924	0.33025134	0.2963259	0.25707084	0.2807296	0.3248107	0.297799	0.34544656	0.25498426	0.35124674	0.312506	0.3150876	0.33036906	0.3034198	0.27339637	0.2103315	0.2799871	0.22285017	0.24478655	0.27861497	0.29483795	0.31894875	0.35811433	0.3227966	0.3498681	0.21912578	0.2462417	0.2581378	0.27172148	0.24642074	0.26845452	0.31152487	0.34334737	0.28918397	0.31361064	0.3145007	0.35043108	0.35291055	0.32493177	0.27430046	0.30129004	0.27862278	0.3241055	0.30960423	0.35064453
NWG 331	0.3444672	0.33769488	0.28858563	0.3226542	0.27312317	0.32682866	0.34053734	0.34553194	0.28295225	0.3227132	0.29216504	0.32115695	0.31574887	0.33560947	0.34270263	0.34672982	0.32583013	0.3458712	0.34744188	0.3477213	0.34841838	0.28169665	0.28716144	0.28387594	0.34562472	0.3451179	0.27802086	0.35188064	0.30742565	0.32000235	0.33159587	0.27114764	0.3372031	0.30321664	0.34385982	0.34181952	0.2892425	0.29314622	0.34278488	0.31481785	0.26920643	0.28469497	0.33993244	0.33169612	0.3486484	0.27682617	0.29734975	0.28267065	0.3417051	0.28276068	0.28653625	0.3407221	0.34151036	0.30409914	0.34190702	0.32607883	0.3135738	0.2800273	0.32166702	0.34178492	0.34891754	0.34433872	0.33205265	0.3337795	0.28175786	0.3518579	0.34216073	0.3236622	0.33665898	0.33724603	0.31567052	0.34409598	0.2846897	0.3450322	0.34909585	0.34624943	0.33954644	0.3043345	0.3221071	0.3196144	0.3479522	0.33987716	0.3364499	0.2976698	0.35203514	0.32637975	0.3368597	0.29775417	0.34680176	0.2753662	0.30460125	0.30166966	0.295529	0.28348663	0.35063732	0.28451118	0.3472649	0.34373552	0.34235382	0.2984671	0.3477542	0.3187196	0.33679575	0.26245177	0.34009692	0.35079592	0.28462633	0.28032443	0.3387914	0.29067293	0.3432965	0.27719113	0.28153303	0.35233855	0.34970436	0.329648	0.3547018	0.33810362	0	0.35130015	0.27767393	0.34306997	0.35537475	0.3248441	0.28006387	0.2741587	0.33475444	0.28485698	0.27747083	0.34955418	0.27542472	0.3494486	0.33759838	0.34136003	0.35544592	0.34252492	0.2901593	0.35445884	0.3416757	0.3390657	0.33966044	0.34705	0.33473563	0.34710294	0.32530442	0.3446401	0.28177285	0.33605146	0.34103668	0.3502657	0.31322557	0.3372025	0.26300424	0.34408244	0.27542806	0.33695757	0.32909474	0.33208054	0.33420742	0.35702932	0.34605956	0.32428187	0.34627312	0.34234223	0.34504208	0.33051187	0.34634712	0.28133076	0.2815341	0.27419925	0.343448	0.33878985	0.35036215	0.3468093	0.34613425	0.35014653	0.31949466	0.29037037	0.33439684	0.31756967	0.3288809	0.27751333	0.27870113	0.35118097	0.33675507	0.3286441	0.34708837	0.35451838	0.34225443	0.27563396
Hass Hemp	0.25829276	0.25064364	0.36434057	0.3209729	0.361809	0.2909214	0.2738474	0.29691347	0.36546132	0.30879188	0.34161443	0.32604057	0.3193304	0.2673721	0.27613097	0.2863455	0.31634694	0.25151148	0.25522038	0.2932348	0.23631874	0.36985818	0.3472859	0.35555637	0.28712	0.29093558	0.36500832	0.2633165	0.34809598	0.31598005	0.2983693	0.357109	0.29334277	0.33772853	0.2508876	0.26602766	0.34987235	0.35197172	0.2827779	0.3330003	0.36233935	0.35734996	0.29322544	0.2894405	0.25587985	0.36385998	0.34137273	0.36339352	0.27550066	0.3609338	0.34602425	0.28589237	0.27088308	0.33417773	0.2765082	0.32905918	0.35196662	0.37639555	0.3154718	0.28506544	0.26991287	0.28204125	0.32796013	0.30253083	0.35940197	0.28368565	0.272752	0.31483877	0.2832462	0.31045392	0.32488033	0.29037023	0.3392956	0.29176205	0.25161934	0.25503495	0.2969756	0.33645514	0.3118215	0.3390744	0.29202127	0.300905	0.27636963	0.35971043	0.25637832	0.3161155	0.27108106	0.35394555	0.2901778	0.3543457	0.3247992	0.34933907	0.35978884	0.33743748	0.28165287	0.34834504	0.29866442	0.2581175	0.2876752	0.3353629	0.29678726	0.33144212	0.29439765	0.36477038	0.26771086	0.24996233	0.34860045	0.3485864	0.29440424	0.3570783	0.2425776	0.3662272	0.34889615	0.25712004	0.24676402	0.27956173	0.25843444	0.28155375	0.35130015	0	0.3580131	0.2649344	0.29038218	0.31175047	0.3578132	0.3662349	0.3112507	0.37523943	0.36617792	0.29089767	0.3600887	0.28594324	0.31660542	0.29069138	0.24728608	0.24890418	0.36536023	0.29348892	0.2863208	0.26635733	0.302458	0.26702386	0.29494184	0.25017175	0.31107756	0.26984876	0.34935555	0.28067634	0.29599878	0.15325993	0.33093718	0.26666495	0.35789537	0.2884237	0.36784968	0.31712934	0.32021332	0.33766094	0.2721258	0.25669867	0.28144062	0.2975221	0.26872534	0.26080167	0.24991637	0.30617324	0.28867424	0.36667898	0.34036145	0.3629001	0.27891183	0.29904786	0.29121694	0.29244056	0.26703748	0.29100436	0.3125293	0.35875118	0.28798103	0.3183183	0.28019255	0.36107346	0.36371985	0.26963225	0.27821863	0.26734006	0.30677697	0.24890015	0.26482135	0.36311188
Tygra	0.35235703	0.34267294	0.2660482	0.3278752	0.24670753	0.32855412	0.34528	0.34714112	0.26756364	0.3328871	0.2958487	0.3234066	0.3225355	0.33555135	0.3520817	0.34994328	0.32719287	0.3573273	0.35111886	0.35071284	0.3560982	0.25832522	0.2867197	0.27359042	0.34746745	0.34774882	0.26200822	0.35519925	0.29477686	0.32163355	0.33716547	0.259544	0.3447107	0.3104921	0.33485627	0.35015592	0.2975136	0.2921451	0.35053736	0.3203574	0.2487441	0.27029234	0.34576976	0.3278532	0.3527598	0.26751328	0.28617	0.26165476	0.3440376	0.2621201	0.29427236	0.35137895	0.34742665	0.3029767	0.34609398	0.3273274	0.32016546	0.26575708	0.32934213	0.34215486	0.3533728	0.34292752	0.33387047	0.3379773	0.26778093	0.35444584	0.3483333	0.32496697	0.33554676	0.3343598	0.3151926	0.34586483	0.2851763	0.35131228	0.35421795	0.35246	0.34406722	0.29636636	0.32699564	0.31939855	0.34853187	0.34444168	0.3420597	0.30182827	0.35354012	0.32702878	0.34543964	0.31034267	0.3488464	0.2683083	0.30676726	0.31786245	0.30497366	0.30428374	0.3492387	0.2890585	0.34758857	0.3473276	0.34320733	0.29505447	0.3510358	0.30773336	0.34467638	0.24928	0.3474559	0.35293758	0.28807068	0.290978	0.34267917	0.29087314	0.34468615	0.25226262	0.29511157	0.35452905	0.35153294	0.3423281	0.3516438	0.34409305	0.27767393	0.3580131	0	0.34904376	0.35546732	0.3266513	0.26584807	0.25974396	0.33750963	0.25932533	0.26106682	0.3515731	0.26072437	0.34962025	0.34041932	0.3455761	0.35796973	0.34688625	0.26867992	0.35952514	0.34740093	0.34720412	0.34240612	0.35405526	0.33892432	0.34903437	0.33218595	0.34993723	0.28776294	0.34607804	0.34810567	0.35579976	0.31352583	0.3503667	0.27933145	0.34137017	0.25847924	0.33692357	0.33635047	0.32781118	0.3445333	0.35905516	0.34608734	0.3281462	0.35150814	0.34846598	0.35172668	0.33222172	0.35226837	0.26000324	0.28697643	0.2586788	0.3446844	0.3448112	0.34915864	0.3490454	0.34641728	0.35112685	0.31234092	0.28142062	0.33240986	0.3176701	0.34198183	0.25136212	0.2660359	0.35566187	0.33760124	0.3445261	0.34802473	0.35804635	0.35404393	0.2547207
